pid,matches_played,total_runs,batting_avg,highest_score,fifties,centuries,sixes,fours,no_of_stumpings,balls_bowled,runs_conceded,wickets,bowling_avg,economy_rate,bowling_strike,four_wicket_haul,five_wicket_hauls
1,50,1800,36.00,120,12,3,45,160,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,75,2800,42.30,150,20,5,78,250,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,90,3200,40.20,140,25,8,102,290,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,55,1650,33.00,110,10,2,50,170,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,170,5181,39.85,133,41,3,253,414,0,0,0,0,0,0,0,0,0
33,80,2069,27.22,109,11,2,92,239,0,1,0,1,0,0,1,0,0
51,171,4642,30.14,105,30,2,103,479,0,6,5,1,5,5,6,0,0
101,43,935,24.61,107,2,2,32,81,0,723,956,31,31,8,23,0,0
103,109,2882,27.71,158,13,2,130,293,0,0,0,0,0,0,0,0,0
125,141,4997,39.66,175,32,6,359,408,0,584,680,19,36,7,31,0,0
148,184,6567,40.04,126,62,4,236,663,0,2,1,0,0,3,0,0,0
215,16,577,44.38,104,3,2,21,60,0,0,0,0,0,0,0,0,0
243,106,3583,37.72,124,19,7,161,356,0,0,0,0,0,0,0,0,0
257,50,1589,34.54,114,9,2,69,166,0,0,0,0,0,0,0,0,0
290,122,4689,44.66,132,37,4,187,400,0,0,0,0,0,0,0,0,0
341,105,2619,25.93,127,13,2,91,247,0,37,48,0,0,8,0,0,0
450,107,3160,30.98,140,23,2,123,316,0,0,0,0,0,0,0,0,0
474,65,2380,41.75,108,18,2,91,217,0,0,0,0,0,0,0,0,0
478,251,6630,29.73,109,43,2,281,599,0,349,438,16,27,8,22,2,0
513,221,6769,35.07,106,51,2,153,768,0,49,65,4,16,8,12,0,0
531,135,3594,31.81,103,24,2,130,385,0,6,8,0,0,8,0,0,0
565,141,3880,30.79,117,21,4,190,377,0,2137,2571,107,24,7,20,2,0
573,162,4419,30.69,119,25,3,206,352,0,0,0,0,0,0,0,0,0
593,99,3216,37.84,129,20,4,95,310,0,0,0,0,0,0,0,0,0
632,244,8014,38.71,113,56,8,273,708,0,264,354,5,71,8,53,0,0
634,104,2728,27.56,122,16,2,106,334,0,138,233,6,39,10,23,0,0
663,52,1607,32.14,124,9,2,64,199,0,1,6,0,0,36,0,0,0
